enganchar	LURE_ENTICE PERSUADE CATCH OFFER SECURE_FASTEN_TIE FLATTER ATTACH CAUSE-SMT OBTAIN HOLE_PIERCE OBLIGE_FORCE STEAL_DEPRIVE
hook	LURE_ENTICE STOP SEW REQUIRE_NEED_WANT_HOPE CATCH OFFER SECURE_FASTEN_TIE HIT CAUSE-SMT STEAL_DEPRIVE
birlar	STEAL_DEPRIVE
cabbage	STEAL_DEPRIVE
pinch	CUT HURT_HARM_ACHE PRESS_PUSH_FOLD STEAL_DEPRIVE
hurtar	STEAL_DEPRIVE
afanar	STEAL_DEPRIVE
atrapar	CAUSE-MENTAL-STATE STOP CATCH REPRESENT OPPOSE_REBEL_DISSENT FIND HIT ATTACH ATTRACT_SUCK TOUCH CAGE_IMPRISON STEAL_DEPRIVE
robar	CATCH REQUIRE_NEED_WANT_HOPE STEAL_DEPRIVE
purloin	STEAL_DEPRIVE
lift	REMOVE_TAKE-AWAY_KIDNAP MAKE-A-SOUND FINISH_CONCLUDE_END CARRY_TRANSPORT PAY AROUSE_WAKE_ENLIVEN STOP AMELIORATE APPEAR CANCEL_ELIMINATE EMBELLISH EXTRACT RAISE REDUCE_DIMINISH STEAL_DEPRIVE
mangar	STEAL_DEPRIVE
sneak	GIVE_GIFT MOVE-ONESELF STEAL_DEPRIVE
filch	STEAL_DEPRIVE
pilfer	STEAL_DEPRIVE
blackguard	JOKE SPEAK
abusar	TREAT SPEAK BENEFIT_EXPLOIT VIOLATE
injuriar	OFFEND_DISESTEEM SPEAK
shout	MAKE-A-SOUND SPEAK
denigrar	ACCUSE DOWNPLAY_HUMILIATE SPEAK CRITICIZE
clapperclaw	SPEAK CORRODE_WEAR-AWAY_SCRATCH
abuse	TREAT SPEAK VIOLATE
malparar	TREAT
ill-treat	TREAT
maltratar	TREAT HURT_HARM_ACHE HIT
ill-use	TREAT
mistreat	TREAT
step	TREAT MOUNT_ASSEMBLE_PRODUCE MOVE-ONESELF MEASURE_EVALUATE CHANGE-APPEARANCE/STATE OPERATE PRESS_PUSH_FOLD PUT_APPLY_PLACE_PAVE GO-FORWARD
maltreat	TREAT
pervert	DECEIVE DEBASE_ADULTERATE VIOLATE
pervertir	DEBASE_ADULTERATE VIOLATE
misuse	APPLY VIOLATE
colindar	BORDER
limitar	BORDER CAGE_IMPRISON REDUCE_DIMINISH RESTRAIN
toucher	BORDER CAUSE-MENTAL-STATE TOUCH
bordear	TURN_CHANGE-DIRECTION LIE BORDER ENCLOSE_WRAP OVERCOME_SURPASS
march	SHOW MOVE-SOMETHING OPPOSE_REBEL_DISSENT BORDER GO-FORWARD
butt_on	BORDER
confinar	BORDER ENCLOSE_WRAP CAGE_IMPRISON
abut	BORDER
être_frontalier	BORDER
adjoin	BORDER ADD
butt	BORDER MOVE-SOMETHING
lindar	BORDER EXTEND
edge	BORDER LOAD_PROVIDE_CHARGE_FURNISH SHARPEN GO-FORWARD
butt_against	BORDER HIT
border	BORDER ENCLOSE_WRAP LOAD_PROVIDE_CHARGE_FURNISH
expiate	JUSTIFY_EXCUSE
pagar	CORRUPT PAY FOLLOW_SUPPORT_SPONSOR_FUND AGREE_ACCEPT PUNISH RESULT_CONSEQUENCE JUSTIFY_EXCUSE
aby	JUSTIFY_EXCUSE
racheter	JUSTIFY_EXCUSE
expier	JUSTIFY_EXCUSE
enmendarse	AMELIORATE JUSTIFY_EXCUSE
