sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
throw	GO_FORWARD OPERATE DISCARD ORGANIZE MOUNT_ASSEMBLE_PRODUCE CREATE_MATERIALIZE DIRECT_AIM_MANEUVER THROW FACIAL_EXPRESSION KNOCK_DOWN PUT_APPLY_PLACE_PAVE CAUSE_MENTAL_STATE SPEAK
break-into	CHANGE_APPEARANCE/STATE SPEAK
keynote	EXIST_WITH_FEATURE SPEAK
speechify	SPEAK
vociferate	SPEAK
shout-out	MAKE_A_SOUND SPEAK
maintain	AFFIRM PRESERVE ARGUE_IN_DEFENSE HELP_HEAL_CARE_CURE STORE MATCH RECORD RETAIN_KEEP_SAVE_MONEY SPEAK AFFECT
defend	PROTECT RESIST ARGUE_IN_DEFENSE FIGHT SPEAK
pour-out	SPILL_POUR LEAVE_DEPART_RUN_AWAY SPEAK
digress	DIVERSIFY SPEAK
stray	TRAVEL LEAVE_DEPART_RUN_AWAY SPEAK
divagate	SPEAK
wander	TRAVEL BETRAY SPEAK
accost	OFFER SPEAK
come-up-to	SPEAK
shout	MAKE_A_SOUND SPEAK
gulp	DRINK SPEAK
cry	REQUIRE_NEED_WANT_HOPE CRY MAKE_A_SOUND SPEAK
blazon-out	SPEAK
yak	SPEAK
gab	SPEAK
communicate	HURT_HARM_ACHE INFORM COMMUNE JOIN_CONNECT SPEAK
speak-in-tongues	SPEAK
note	LOOK WRITE PERCEIVE SPEAK
observe	FIND MATCH HARMONIZE SPEAK LIKE LOOK WATCH_LOOK_OUT BEHAVE
mention	APPROVE_PRAISE CITE SPEAK
remark	EXPLAIN SPEAK
shmooze	SPEAK
shmoose	SPEAK
schmooze	SPEAK
schmoose	SPEAK
jawbone	SPEAK
bumble	MESS MOVE_ONESELF SPEAK
stutter	SPEAK
stammer	SPEAK
falter	MOVE_ONESELF FAIL_LOSE SPEAK
translate	CHANGE_SWITCH UNDERSTAND MOVE_SOMETHING CHANGE_APPEARANCE/STATE VERIFY IMPLY SPEAK TRANSLATE
sermonize	SPEAK
sermonise	SPEAK
preachify	SPEAK
moralize	INTERPRET INCREASE_ENLARGE_MULTIPLY SPEAK
moralise	INTERPRET INCREASE_ENLARGE_MULTIPLY SPEAK
relate	CORRELATE REFER BEFRIEND SPEAK
open-up	LOAD_PROVIDE_CHARGE_FURNISH BEGIN OPEN SPEAK
spit	EXCRETE METEOROLOGICAL HOLE_PIERCE SPEAK
spit-out	EXCRETE SPEAK
bloviate	SPEAK
complain	ACCUSE SPEAK
kick	HIT DRIVE_BACK GIVE_UP_ABOLISH_ABANDON SCORE RAISE SPEAK
plain	SPEAK
sound-off	PERFORM SPEAK
quetch	SPEAK
kvetch	SPEAK
misquote	SPEAK
dictate	ORDER LEAD_GOVERN SPEAK
peep	SHOW APPEAR MAKE_A_SOUND SPEAK LOOK
generalize	CIRCULATE_SPREAD_DISTRIBUTE INFER SPEAK
generalise	CIRCULATE_SPREAD_DISTRIBUTE INFER SPEAK
paraphrase	SPEAK
rephrase	SPEAK
reword	SPEAK
pooh-pooh	REFUSE SPEAK
menace	ENDANGER BEHAVE SPEAK
list	INCLINE COUNT RECORD SPEAK
name	CITE NAME ASSIGN SPEAK RECOGNIZE_ADMIT_IDENTIFY ANALYZE
singsong	MOVE_SOMETHING SPEAK
tell	ORDER KNOW INFORM SPEAK RECOGNIZE_ADMIT_IDENTIFY
denounce	ACCUSE BETRAY CRITICIZE SPEAK
abreact	SPEAK
perorate	FINISH_CONCLUDE_END SPEAK
trumpet	PERFORM MAKE_A_SOUND SPEAK
frame	MOUNT_ASSEMBLE_PRODUCE PLAN_SCHEDULE CATCH SPEAK ENCLOSE_WRAP
redact	ADJUST_CORRECT SPEAK
cast	DISCARD CREATE_MATERIALIZE DIRECT_AIM_MANEUVER THROW STORE TRAVEL ASSIGN CHOOSE SPEAK EXCRETE
